# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = LDA_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = LDA_1.data.R
# init = 2 (Default)
# random
#   seed = 4189522076
# output
#   file = LDA_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.3.1,theta.4.1,theta.5.1,theta.6.1,theta.7.1,theta.8.1,theta.9.1,theta.10.1,theta.11.1,theta.12.1,theta.13.1,theta.14.1,theta.15.1,theta.16.1,theta.17.1,theta.18.1,theta.19.1,theta.20.1,theta.21.1,theta.22.1,theta.23.1,theta.24.1,theta.25.1,theta.1.2,theta.2.2,theta.3.2,theta.4.2,theta.5.2,theta.6.2,theta.7.2,theta.8.2,theta.9.2,theta.10.2,theta.11.2,theta.12.2,theta.13.2,theta.14.2,theta.15.2,theta.16.2,theta.17.2,theta.18.2,theta.19.2,theta.20.2,theta.21.2,theta.22.2,theta.23.2,theta.24.2,theta.25.2,phi.1.1,phi.2.1,phi.1.2,phi.2.2,phi.1.3,phi.2.3,phi.1.4,phi.2.4,phi.1.5,phi.2.5
-396.558,0.971303,0.122185,6,127,0,421.556,0.962986,0.997619,0.638508,0.557154,0.00271708,0.863227,0.923884,6.9828e-06,0.993586,0.0022972,0.84412,0.984156,0.198773,0.986684,0.0673329,0.912922,0.309699,0.0617243,0.40389,0.796703,0.301057,0.471505,0.672465,0.51026,0.0439807,0.0370138,0.00238085,0.361492,0.442846,0.997283,0.136773,0.0761162,0.999993,0.00641388,0.997703,0.15588,0.0158442,0.801227,0.0133157,0.932667,0.0870775,0.690301,0.938276,0.59611,0.203297,0.698943,0.528495,0.327535,0.48974,0.956019,0.000227861,0.348511,2.08674e-07,0.337546,0.315439,0.313858,0.443991,8.25844e-05,0.240342,2.04582e-06
-397.827,0.753186,0.21036,5,63,0,417.827,0.985235,0.94472,0.539556,0.64347,0.00748188,0.984718,0.968413,1.10598e-07,0.891799,0.000852073,0.891876,0.952996,0.42101,0.989232,0.0009019,0.942087,0.0527121,0.442388,0.929713,0.86432,0.538976,0.0580632,0.772064,0.639558,0.149366,0.0147648,0.0552796,0.460444,0.35653,0.992518,0.0152817,0.0315866,1,0.108201,0.999148,0.108124,0.0470037,0.57899,0.0107675,0.999098,0.0579128,0.947288,0.557612,0.0702873,0.13568,0.461024,0.941937,0.227936,0.360442,0.850634,0.000272216,0.397618,6.49189e-05,0.343003,0.328823,0.259364,0.417423,1.464e-05,0.253417,1.0611e-07
-395.384,0.769041,0.189469,5,31,0,413.518,0.641148,0.992059,0.533499,0.417079,0.17492,0.842193,0.789,1.3494e-05,0.934036,0.0199226,0.960934,0.98519,0.224069,0.899005,0.0456542,0.776856,0.242583,0.0295644,0.619552,0.999365,0.307478,0.580626,0.539777,0.518239,0.010584,0.358852,0.00794088,0.466501,0.582921,0.82508,0.157807,0.211,0.999987,0.0659644,0.980077,0.039066,0.0148096,0.775931,0.100995,0.954346,0.223144,0.757417,0.970436,0.380448,0.000635409,0.692522,0.419374,0.460223,0.481761,0.989416,0.000194672,0.410807,0.000601851,0.28319,0.175798,0.305659,0.397827,0.000316437,0.425578,2.76359e-05
-393.922,0.85955,0.179108,5,63,0,411.338,0.858302,0.992404,0.58811,0.770716,0.0361079,0.993139,0.753422,0.000193113,0.968779,0.00552859,0.983574,0.996664,0.184194,0.895543,0.0657131,0.809794,0.140065,0.299153,0.829378,0.99223,0.216855,0.0553865,0.769685,0.709912,0.309604,0.141698,0.0075963,0.41189,0.229284,0.963892,0.00686077,0.246578,0.999807,0.0312214,0.994471,0.0164255,0.00333603,0.815806,0.104457,0.934287,0.190206,0.859935,0.700847,0.170622,0.0077696,0.783145,0.944613,0.230315,0.290088,0.690396,3.55063e-06,0.458891,0.00446659,0.301909,0.279993,0.237114,0.47869,0.00173373,0.236846,0.000352503
-393.833,0.887393,0.220068,5,31,0,415.021,0.947171,0.990809,0.576429,0.610782,0.000121342,0.814717,0.958126,0.00226422,0.993954,0.0333576,0.864808,0.872238,0.396056,0.993968,0.0613515,0.81727,0.193099,0.0108143,0.841327,0.656524,0.633366,0.581793,0.719054,0.728373,0.00120379,0.0528291,0.00919103,0.423571,0.389218,0.999879,0.185283,0.0418736,0.997736,0.00604619,0.966642,0.135192,0.127762,0.603944,0.00603207,0.938648,0.18273,0.806901,0.989186,0.158673,0.343476,0.366634,0.418207,0.280946,0.271627,0.998796,6.45653e-07,0.40287,0.00197105,0.416571,0.385169,0.163157,0.365709,0.00337259,0.24715,0.014029
-394.712,0.959916,0.291844,5,31,0,409.345,0.664139,0.85858,0.702874,0.706018,0.00516007,0.970534,0.692208,0.213906,0.941628,0.0547246,0.998948,0.995673,0.183942,0.87316,0.0497007,0.907898,0.167274,0.443064,0.791171,0.933107,0.121422,0.0412352,0.724562,0.644865,0.000137878,0.335861,0.14142,0.297126,0.293982,0.99484,0.0294657,0.307792,0.786094,0.0583718,0.945275,0.00105214,0.00432685,0.816058,0.12684,0.950299,0.0921018,0.832726,0.556936,0.208829,0.0668927,0.878578,0.958765,0.275438,0.355135,0.999862,3.5934e-07,0.367582,0.00439149,0.39364,0.324907,0.235898,0.361607,0.0019083,0.309094,0.000972031
-394.712,0.0923219,0.473123,3,10,1,406.622,0.664139,0.85858,0.702874,0.706018,0.00516007,0.970534,0.692208,0.213906,0.941628,0.0547246,0.998948,0.995673,0.183942,0.87316,0.0497007,0.907898,0.167274,0.443064,0.791171,0.933107,0.121422,0.0412352,0.724562,0.644865,0.000137878,0.335861,0.14142,0.297126,0.293982,0.99484,0.0294657,0.307792,0.786094,0.0583718,0.945275,0.00105214,0.00432685,0.816058,0.12684,0.950299,0.0921018,0.832726,0.556936,0.208829,0.0668927,0.878578,0.958765,0.275438,0.355135,0.999862,3.5934e-07,0.367582,0.00439149,0.39364,0.324907,0.235898,0.361607,0.0019083,0.309094,0.000972031
-395.917,0.993791,0.0665257,6,127,0,411.568,0.937713,0.962697,0.858402,0.743629,0.0182209,0.936594,0.998573,5.05426e-05,0.970648,0.00137723,0.96836,0.590218,0.277093,0.979788,0.00651362,0.710475,0.174292,0.0212058,0.914798,0.855856,0.643344,0.51781,0.627058,0.740102,0.00681796,0.0622873,0.0373029,0.141598,0.256371,0.981779,0.0634058,0.00142724,0.999949,0.0293521,0.998623,0.0316402,0.409782,0.722907,0.0202116,0.993486,0.289525,0.825708,0.978794,0.0852023,0.144144,0.356656,0.48219,0.372942,0.259898,0.993182,9.26147e-08,0.386893,0.00515389,0.402984,0.335837,0.194804,0.391871,0.00768212,0.267138,0.00763679
-389.95,0.990928,0.119062,6,127,0,412.998,0.890179,0.963477,0.537268,0.485668,0.0867408,0.942074,0.936826,0.342749,0.95577,0.0239374,0.946595,0.998848,0.372708,0.897728,0.147171,0.928392,0.160905,0.119218,0.990295,0.888784,0.416934,0.126422,0.699605,0.439223,0.134862,0.109821,0.0365227,0.462732,0.514332,0.913259,0.0579257,0.063174,0.657251,0.0442304,0.976063,0.0534048,0.00115205,0.627292,0.102272,0.852829,0.0716078,0.839095,0.880782,0.00970494,0.111216,0.583066,0.873578,0.300395,0.560777,0.865138,0.000163468,0.406671,8.76357e-06,0.333851,0.321434,0.251229,0.367007,0.00428631,0.311386,0.00396305
-397.321,0.735652,0.209372,6,63,0,414.275,0.911888,0.974808,0.629048,0.845247,0.0442596,0.999996,0.972539,0.000636309,0.987093,0.0406766,0.866665,0.983576,0.379006,0.985325,0.023996,0.967125,0.0602409,0.247237,0.329195,0.879845,0.391418,0.489559,0.850911,0.578212,0.0159858,0.0881115,0.0251925,0.370952,0.154753,0.95574,4.4574e-06,0.0274611,0.999364,0.0129071,0.959323,0.133335,0.0164243,0.620994,0.0146753,0.976004,0.0328755,0.939759,0.752763,0.670805,0.120155,0.608582,0.510441,0.149089,0.421788,0.984014,0.0650649,0.377049,1.13893e-07,0.365964,0.248097,0.246631,0.365706,0.00685332,0.321132,0.0035025
